episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,agentHasGold,reward,alpha,gamma,epsilon,epsilonDecay
0,6,false,false,false,-2535.0,0.1,0.99,1.0,0.001
1,8,false,false,false,-2547.0,0.1,0.99,0.999,0.001
2,4,false,false,false,-2033.0,0.1,0.99,0.998001,0.001
3,13,false,false,false,-5552.0,0.1,0.99,0.997002999,0.001
4,3,false,false,false,-3002.0,0.1,0.99,0.996005996001,0.001
5,27,false,false,false,-6646.0,0.1,0.99,0.995009990004999,0.001
6,7,false,false,false,-3016.0,0.1,0.99,0.994014980014994,0.001
7,4,false,false,false,-2013.0,0.1,0.99,0.993020965034979,0.001
8,4,false,false,false,-2023.0,0.1,0.99,0.9920279440699441,0.001
9,13,false,false,false,-3572.0,0.1,0.99,0.9910359161258742,0.001
10,2,false,false,false,-2501.0,0.1,0.99,0.9900448802097482,0.001
11,4,false,false,false,-2513.0,0.1,0.99,0.9890548353295385,0.001
12,38,false,false,false,-4707.0,0.1,0.99,0.988065780494209,0.001
13,2,false,false,false,-2501.0,0.1,0.99,0.9870777147137147,0.001
14,43,false,false,false,-6752.0,0.1,0.99,0.986090636999001,0.001
15,1,false,false,false,-2000.0,0.1,0.99,0.9851045463620021,0.001
16,2,false,false,false,-2011.0,0.1,0.99,0.98411944181564,0.001
17,35,false,false,false,-4724.0,0.1,0.99,0.9831353223738244,0.001
18,25,false,false,false,-5144.0,0.1,0.99,0.9821521870514506,0.001
19,7,false,false,false,-2026.0,0.1,0.99,0.9811700348643991,0.001
20,4,false,false,false,-2023.0,0.1,0.99,0.9801888648295347,0.001
21,8,false,false,false,-2527.0,0.1,0.99,0.9792086759647052,0.001
22,2,false,false,false,-2001.0,0.1,0.99,0.9782294672887405,0.001
23,10,false,false,false,-2549.0,0.1,0.99,0.9772512378214517,0.001
24,10,false,false,false,-3059.0,0.1,0.99,0.9762739865836303,0.001
25,4,false,false,false,-3013.0,0.1,0.99,0.9752977125970467,0.001
26,6,false,false,false,-3515.0,0.1,0.99,0.9743224148844496,0.001
27,5,false,false,false,-2014.0,0.1,0.99,0.9733480924695651,0.001
28,1,false,false,false,-2000.0,0.1,0.99,0.9723747443770956,0.001
29,4,false,false,false,-2033.0,0.1,0.99,0.9714023696327185,0.001
30,6,false,false,false,-3505.0,0.1,0.99,0.9704309672630859,0.001
31,24,false,false,false,-3133.0,0.1,0.99,0.9694605362958227,0.001
32,9,false,false,false,-3058.0,0.1,0.99,0.9684910757595269,0.001
33,1,false,false,false,-2000.0,0.1,0.99,0.9675225846837673,0.001
34,25,false,false,false,-4134.0,0.1,0.99,0.9665550620990835,0.001
35,6,false,false,false,-2535.0,0.1,0.99,0.9655885070369844,0.001
36,7,false,false,false,-3046.0,0.1,0.99,0.9646229185299474,0.001
37,7,false,false,false,-2536.0,0.1,0.99,0.9636582956114175,0.001
38,3,false,false,false,-2012.0,0.1,0.99,0.9626946373158061,0.001
39,1,false,false,false,-2000.0,0.1,0.99,0.9617319426784903,0.001
40,39,false,false,false,-5228.0,0.1,0.99,0.9607702107358118,0.001
41,5,false,false,false,-3024.0,0.1,0.99,0.959809440525076,0.001
42,17,false,false,false,-3086.0,0.1,0.99,0.9588496310845509,0.001
43,2,false,false,false,-2501.0,0.1,0.99,0.9578907814534664,0.001
44,18,false,false,false,-4607.0,0.1,0.99,0.9569328906720129,0.001
45,15,false,false,false,-2564.0,0.1,0.99,0.9559759577813409,0.001
46,17,false,false,false,-5036.0,0.1,0.99,0.9550199818235596,0.001
47,2,false,false,false,-2011.0,0.1,0.99,0.9540649618417361,0.001
48,11,false,false,false,-2550.0,0.1,0.99,0.9531108968798944,0.001
49,30,false,false,false,-4179.0,0.1,0.99,0.9521577859830145,0.001
50,2,false,false,false,-2001.0,0.1,0.99,0.9512056281970315,0.001
51,7,false,false,false,-3036.0,0.1,0.99,0.9502544225688344,0.001
52,3,false,false,false,-2512.0,0.1,0.99,0.9493041681462656,0.001
53,13,false,false,false,-3542.0,0.1,0.99,0.9483548639781193,0.001
54,9,false,false,false,-3528.0,0.1,0.99,0.9474065091141411,0.001
55,3,false,false,false,-2012.0,0.1,0.99,0.946459102605027,0.001
56,12,false,false,false,-2571.0,0.1,0.99,0.9455126435024219,0.001
57,7,false,false,false,-2546.0,0.1,0.99,0.9445671308589195,0.001
58,18,false,false,false,-3617.0,0.1,0.99,0.9436225637280606,0.001
59,2,false,false,false,-2501.0,0.1,0.99,0.9426789411643326,0.001
60,1,false,false,false,-2000.0,0.1,0.99,0.9417362622231683,0.001
61,22,false,false,false,-2151.0,0.1,0.99,0.9407945259609451,0.001
62,14,false,false,false,-2553.0,0.1,0.99,0.9398537314349842,0.001
63,9,false,false,false,-2038.0,0.1,0.99,0.9389138777035492,0.001
64,3,false,false,false,-3002.0,0.1,0.99,0.9379749638258457,0.001
65,4,false,false,false,-3013.0,0.1,0.99,0.9370369888620198,0.001
66,1,false,false,false,-2000.0,0.1,0.99,0.9360999518731578,0.001
67,34,false,false,false,-5223.0,0.1,0.99,0.9351638519212846,0.001
68,31,false,false,false,-5170.0,0.1,0.99,0.9342286880693633,0.001
69,3,false,false,false,-2012.0,0.1,0.99,0.933294459381294,0.001
70,2,false,false,false,-2001.0,0.1,0.99,0.9323611649219127,0.001
71,2,false,false,false,-2011.0,0.1,0.99,0.9314288037569908,0.001
72,24,false,false,false,-6093.0,0.1,0.99,0.9304973749532338,0.001
73,9,false,false,false,-3538.0,0.1,0.99,0.9295668775782806,0.001
74,12,false,false,false,-2581.0,0.1,0.99,0.9286373107007023,0.001
75,20,false,false,false,-3129.0,0.1,0.99,0.9277086733900016,0.001
76,27,false,false,false,-4666.0,0.1,0.99,0.9267809647166116,0.001
77,2,false,false,false,-2501.0,0.1,0.99,0.925854183751895,0.001
78,19,false,false,false,-4078.0,0.1,0.99,0.9249283295681431,0.001
79,1,false,false,false,-2000.0,0.1,0.99,0.9240034012385749,0.001
80,3,false,false,false,-2012.0,0.1,0.99,0.9230793978373364,0.001
81,3,false,false,false,-2022.0,0.1,0.99,0.9221563184394991,0.001
82,13,false,false,false,-4052.0,0.1,0.99,0.9212341621210596,0.001
83,10,false,false,false,-3039.0,0.1,0.99,0.9203129279589385,0.001
84,2,false,false,false,-2001.0,0.1,0.99,0.9193926150309796,0.001
85,3,false,false,false,-2012.0,0.1,0.99,0.9184732224159486,0.001
86,16,false,false,false,-3065.0,0.1,0.99,0.9175547491935327,0.001
87,24,false,false,false,-3143.0,0.1,0.99,0.9166371944443392,0.001
88,1,false,false,false,-2000.0,0.1,0.99,0.9157205572498949,0.001
89,5,false,false,false,-2034.0,0.1,0.99,0.914804836692645,0.001
90,3,false,false,false,-2012.0,0.1,0.99,0.9138900318559524,0.001
91,10,false,false,false,-2059.0,0.1,0.99,0.9129761418240965,0.001
92,7,false,false,false,-2026.0,0.1,0.99,0.9120631656822724,0.001
93,9,false,false,false,-3048.0,0.1,0.99,0.9111511025165902,0.001
94,2,false,false,false,-2011.0,0.1,0.99,0.9102399514140735,0.001
95,52,false,false,false,-5241.0,0.1,0.99,0.9093297114626595,0.001
96,23,false,false,false,-4092.0,0.1,0.99,0.9084203817511969,0.001
97,12,false,false,false,-3031.0,0.1,0.99,0.9075119613694457,0.001
98,8,false,false,false,-3547.0,0.1,0.99,0.9066044494080763,0.001
99,2,false,false,false,-2001.0,0.1,0.99,0.9056978449586682,0.001
100,12,false,false,false,-2531.0,0.1,0.99,0.9047921471137096,0.001
101,11,false,false,false,-3550.0,0.1,0.99,0.9038873549665959,0.001
102,16,false,false,false,-4085.0,0.1,0.99,0.9029834676116293,0.001
103,9,false,false,false,-3028.0,0.1,0.99,0.9020804841440176,0.001
104,3,false,false,false,-2502.0,0.1,0.99,0.9011784036598737,0.001
105,1,false,false,false,-2000.0,0.1,0.99,0.9002772252562138,0.001
106,15,false,false,false,-3584.0,0.1,0.99,0.8993769480309576,0.001
107,6,false,false,false,-2045.0,0.1,0.99,0.8984775710829266,0.001
108,19,false,false,false,-4108.0,0.1,0.99,0.8975790935118436,0.001
109,8,false,false,false,-3037.0,0.1,0.99,0.8966815144183318,0.001
110,6,false,false,false,-2035.0,0.1,0.99,0.8957848329039134,0.001
111,12,false,false,false,-3091.0,0.1,0.99,0.8948890480710096,0.001
112,28,false,false,false,-4157.0,0.1,0.99,0.8939941590229386,0.001
113,13,false,false,false,-4062.0,0.1,0.99,0.8931001648639156,0.001
114,6,false,false,false,-3035.0,0.1,0.99,0.8922070646990518,0.001
115,16,false,false,false,-3095.0,0.1,0.99,0.8913148576343527,0.001
116,7,false,false,false,-2536.0,0.1,0.99,0.8904235427767183,0.001
117,14,false,false,false,-3083.0,0.1,0.99,0.8895331192339416,0.001
118,7,false,false,false,-2526.0,0.1,0.99,0.8886435861147077,0.001
119,17,false,false,false,-2596.0,0.1,0.99,0.887754942528593,0.001
120,5,false,false,false,-2504.0,0.1,0.99,0.8868671875860644,0.001
121,21,false,false,false,-3610.0,0.1,0.99,0.8859803203984784,0.001
122,9,false,false,false,-2068.0,0.1,0.99,0.88509434007808,0.001
123,1,false,false,false,-2000.0,0.1,0.99,0.8842092457380019,0.001
124,2,false,false,false,-2011.0,0.1,0.99,0.8833250364922639,0.001
125,15,false,false,false,-4084.0,0.1,0.99,0.8824417114557717,0.001
126,9,false,false,false,-2048.0,0.1,0.99,0.8815592697443159,0.001
127,7,false,false,false,-3536.0,0.1,0.99,0.8806777104745716,0.001
128,3,false,false,false,-2012.0,0.1,0.99,0.8797970327640969,0.001
129,14,false,false,false,-4043.0,0.1,0.99,0.8789172357313328,0.001
130,6,false,false,false,-2025.0,0.1,0.99,0.8780383184956015,0.001
131,18,false,false,false,-3047.0,0.1,0.99,0.8771602801771059,0.001
132,12,false,false,false,-3061.0,0.1,0.99,0.8762831198969288,0.001
133,23,false,false,false,-6092.0,0.1,0.99,0.8754068367770318,0.001
134,1,false,false,false,-2000.0,0.1,0.99,0.8745314299402548,0.001
135,17,false,false,false,-4106.0,0.1,0.99,0.8736568985103146,0.001
136,22,false,false,false,-4111.0,0.1,0.99,0.8727832416118043,0.001
137,18,false,false,false,-4087.0,0.1,0.99,0.8719104583701925,0.001
138,9,false,false,false,-2548.0,0.1,0.99,0.8710385479118223,0.001
139,14,false,false,false,-2573.0,0.1,0.99,0.8701675093639105,0.001
140,13,false,false,false,-4042.0,0.1,0.99,0.8692973418545467,0.001
141,3,false,false,false,-2512.0,0.1,0.99,0.8684280445126921,0.001
142,2,false,false,false,-2011.0,0.1,0.99,0.8675596164681794,0.001
143,10,false,false,false,-2549.0,0.1,0.99,0.8666920568517111,0.001
144,1,false,false,false,-2000.0,0.1,0.99,0.8658253647948594,0.001
145,3,false,false,false,-2512.0,0.1,0.99,0.8649595394300645,0.001
146,9,false,false,false,-2538.0,0.1,0.99,0.8640945798906344,0.001
147,9,false,false,false,-3528.0,0.1,0.99,0.8632304853107438,0.001
148,31,false,false,false,-2670.0,0.1,0.99,0.862367254825433,0.001
149,28,false,false,false,-3687.0,0.1,0.99,0.8615048875706075,0.001
150,1,false,false,false,-2000.0,0.1,0.99,0.8606433826830369,0.001
151,11,false,false,false,-3560.0,0.1,0.99,0.8597827393003539,0.001
152,6,false,false,false,-3505.0,0.1,0.99,0.8589229565610536,0.001
153,9,false,false,false,-2568.0,0.1,0.99,0.8580640336044925,0.001
154,6,false,false,false,-2035.0,0.1,0.99,0.857205969570888,0.001
155,5,false,false,false,-2014.0,0.1,0.99,0.8563487636013172,0.001
156,17,false,false,false,-3086.0,0.1,0.99,0.8554924148377159,0.001
157,31,false,false,false,-4180.0,0.1,0.99,0.8546369224228781,0.001
158,41,false,false,false,-3760.0,0.1,0.99,0.8537822855004553,0.001
159,4,false,false,false,-2033.0,0.1,0.99,0.8529285032149548,0.001
160,4,false,false,false,-2503.0,0.1,0.99,0.8520755747117399,0.001
161,2,false,false,false,-2001.0,0.1,0.99,0.8512234991370281,0.001
162,27,false,false,false,-4586.0,0.1,0.99,0.8503722756378911,0.001
163,16,false,false,false,-3055.0,0.1,0.99,0.8495219033622532,0.001
164,52,false,false,false,-7301.0,0.1,0.99,0.8486723814588909,0.001
165,26,false,false,false,-3135.0,0.1,0.99,0.847823709077432,0.001
166,9,false,false,false,-2548.0,0.1,0.99,0.8469758853683546,0.001
167,1,false,false,false,-2000.0,0.1,0.99,0.8461289094829862,0.001
168,7,false,false,false,-3036.0,0.1,0.99,0.8452827805735033,0.001
169,9,false,false,false,-2538.0,0.1,0.99,0.8444374977929298,0.001
170,10,false,false,false,-3029.0,0.1,0.99,0.8435930602951368,0.001
171,11,false,false,false,-2560.0,0.1,0.99,0.8427494672348417,0.001
172,13,false,false,false,-2572.0,0.1,0.99,0.8419067177676068,0.001
173,13,false,false,false,-2052.0,0.1,0.99,0.8410648110498392,0.001
174,17,false,false,false,-3586.0,0.1,0.99,0.8402237462387894,0.001
175,16,false,false,false,-3085.0,0.1,0.99,0.8393835224925505,0.001
176,14,false,false,false,-2583.0,0.1,0.99,0.838544138970058,0.001
177,7,false,false,false,-2026.0,0.1,0.99,0.8377055948310879,0.001
178,17,false,false,false,-2586.0,0.1,0.99,0.8368678892362568,0.001
179,5,false,false,false,-2024.0,0.1,0.99,0.8360310213470206,0.001
180,1,false,false,false,-2000.0,0.1,0.99,0.8351949903256736,0.001
181,16,false,false,false,-2585.0,0.1,0.99,0.8343597953353479,0.001
182,7,false,false,false,-2046.0,0.1,0.99,0.8335254355400126,0.001
183,4,false,false,false,-2023.0,0.1,0.99,0.8326919101044725,0.001
184,3,false,false,false,-2512.0,0.1,0.99,0.831859218194368,0.001
185,8,false,false,false,-3047.0,0.1,0.99,0.8310273589761736,0.001
186,7,false,false,false,-4026.0,0.1,0.99,0.8301963316171974,0.001
187,15,false,false,false,-2584.0,0.1,0.99,0.8293661352855802,0.001
188,22,false,false,false,-4101.0,0.1,0.99,0.8285367691502946,0.001
189,3,false,false,false,-2002.0,0.1,0.99,0.8277082323811443,0.001
190,7,false,false,false,-2536.0,0.1,0.99,0.8268805241487632,0.001
191,8,false,false,false,-3517.0,0.1,0.99,0.8260536436246144,0.001
192,1,false,false,false,-2000.0,0.1,0.99,0.8252275899809898,0.001
193,3,false,false,false,-2502.0,0.1,0.99,0.8244023623910088,0.001
194,2,false,false,false,-2501.0,0.1,0.99,0.8235779600286178,0.001
195,2,false,false,false,-2001.0,0.1,0.99,0.8227543820685892,0.001
196,12,false,false,false,-2031.0,0.1,0.99,0.8219316276865206,0.001
197,3,false,false,false,-2502.0,0.1,0.99,0.8211096960588341,0.001
198,14,false,false,false,-3063.0,0.1,0.99,0.8202885863627752,0.001
199,4,false,false,false,-2023.0,0.1,0.99,0.8194682977764125,0.001
200,6,false,false,false,-2015.0,0.1,0.99,0.818648829478636,0.001
201,1,false,false,false,-2000.0,0.1,0.99,0.8178301806491574,0.001
202,98,false,false,false,-12967.0,0.1,0.99,0.8170123504685082,0.001
203,12,false,false,false,-3051.0,0.1,0.99,0.8161953381180397,0.001
204,5,false,false,false,-3014.0,0.1,0.99,0.8153791427799216,0.001
205,19,false,false,false,-2618.0,0.1,0.99,0.8145637636371417,0.001
206,4,false,false,false,-2003.0,0.1,0.99,0.8137491998735046,0.001
207,7,false,false,false,-2516.0,0.1,0.99,0.812935450673631,0.001
208,6,false,false,false,-2525.0,0.1,0.99,0.8121225152229574,0.001
209,17,false,false,false,-3096.0,0.1,0.99,0.8113103927077344,0.001
210,16,false,false,false,-2595.0,0.1,0.99,0.8104990823150267,0.001
211,10,false,false,false,-3559.0,0.1,0.99,0.8096885832327116,0.001
212,7,false,false,false,-2016.0,0.1,0.99,0.8088788946494789,0.001
213,15,false,false,false,-3074.0,0.1,0.99,0.8080700157548294,0.001
214,7,false,false,false,-4016.0,0.1,0.99,0.8072619457390746,0.001
215,3,false,false,false,-2012.0,0.1,0.99,0.8064546837933355,0.001
216,10,false,false,false,-2039.0,0.1,0.99,0.8056482291095421,0.001
217,4,false,false,false,-2033.0,0.1,0.99,0.8048425808804326,0.001
218,15,false,false,false,-3064.0,0.1,0.99,0.8040377382995522,0.001
219,13,false,false,false,-3062.0,0.1,0.99,0.8032337005612527,0.001
220,9,false,false,false,-3008.0,0.1,0.99,0.8024304668606914,0.001
221,7,false,false,false,-2036.0,0.1,0.99,0.8016280363938307,0.001
222,2,false,false,false,-2011.0,0.1,0.99,0.8008264083574369,0.001
223,6,false,false,false,-2045.0,0.1,0.99,0.8000255819490795,0.001
224,2,false,false,false,-2501.0,0.1,0.99,0.7992255563671304,0.001
225,5,false,false,false,-2034.0,0.1,0.99,0.7984263308107633,0.001
226,53,false,false,false,-4692.0,0.1,0.99,0.7976279044799526,0.001
227,29,false,false,false,-3118.0,0.1,0.99,0.7968302765754727,0.001
228,1,false,false,false,-2000.0,0.1,0.99,0.7960334462988972,0.001
229,4,false,false,false,-2003.0,0.1,0.99,0.7952374128525983,0.001
230,6,false,false,false,-3025.0,0.1,0.99,0.7944421754397457,0.001
231,9,false,false,false,-2518.0,0.1,0.99,0.7936477332643059,0.001
232,3,false,false,false,-2512.0,0.1,0.99,0.7928540855310416,0.001
233,6,false,false,false,-2525.0,0.1,0.99,0.7920612314455105,0.001
234,11,false,false,false,-3040.0,0.1,0.99,0.7912691702140651,0.001
235,13,false,false,false,-3052.0,0.1,0.99,0.790477901043851,0.001
236,12,false,false,false,-3061.0,0.1,0.99,0.7896874231428072,0.001
237,15,false,true,false,-4544.0,0.1,0.99,0.7888977357196644,0.001
238,9,false,false,false,-3548.0,0.1,0.99,0.7881088379839447,0.001
239,5,false,false,false,-2014.0,0.1,0.99,0.7873207291459607,0.001
240,28,false,false,false,-3127.0,0.1,0.99,0.7865334084168147,0.001
241,31,false,false,false,-6150.0,0.1,0.99,0.7857468750083979,0.001
242,7,false,false,false,-3026.0,0.1,0.99,0.7849611281333895,0.001
243,18,false,false,false,-2087.0,0.1,0.99,0.784176167005256,0.001
244,12,false,false,false,-2551.0,0.1,0.99,0.7833919908382508,0.001
245,11,false,false,false,-3040.0,0.1,0.99,0.7826085988474126,0.001
246,9,false,false,false,-3548.0,0.1,0.99,0.7818259902485653,0.001
247,2,false,false,false,-2001.0,0.1,0.99,0.7810441642583167,0.001
248,4,false,false,false,-2003.0,0.1,0.99,0.7802631200940584,0.001
249,1,false,false,false,-2000.0,0.1,0.99,0.7794828569739644,0.001
250,2,false,false,false,-2001.0,0.1,0.99,0.7787033741169904,0.001
251,12,false,false,false,-2051.0,0.1,0.99,0.7779246707428734,0.001
252,37,false,false,false,-5176.0,0.1,0.99,0.7771467460721305,0.001
253,1,false,false,false,-2000.0,0.1,0.99,0.7763695993260584,0.001
254,3,false,false,false,-2022.0,0.1,0.99,0.7755932297267324,0.001
255,5,false,false,false,-3514.0,0.1,0.99,0.7748176364970056,0.001
256,3,false,false,false,-2002.0,0.1,0.99,0.7740428188605086,0.001
257,2,false,false,false,-2011.0,0.1,0.99,0.7732687760416481,0.001
258,17,false,false,false,-2566.0,0.1,0.99,0.7724955072656065,0.001
259,17,false,false,false,-4056.0,0.1,0.99,0.7717230117583408,0.001
260,2,false,false,false,-2001.0,0.1,0.99,0.7709512887465825,0.001
261,2,false,false,false,-2001.0,0.1,0.99,0.7701803374578359,0.001
262,6,false,false,false,-2545.0,0.1,0.99,0.7694101571203781,0.001
263,18,false,false,false,-2577.0,0.1,0.99,0.7686407469632577,0.001
264,2,false,false,false,-2001.0,0.1,0.99,0.7678721062162944,0.001
265,4,false,false,false,-2033.0,0.1,0.99,0.7671042341100781,0.001
266,5,false,false,false,-2024.0,0.1,0.99,0.766337129875968,0.001
267,3,false,false,false,-2012.0,0.1,0.99,0.7655707927460921,0.001
268,38,false,false,false,-7127.0,0.1,0.99,0.764805221953346,0.001
269,5,false,false,false,-2014.0,0.1,0.99,0.7640404167313927,0.001
270,10,false,false,false,-2569.0,0.1,0.99,0.7632763763146613,0.001
271,15,false,false,false,-3084.0,0.1,0.99,0.7625130999383466,0.001
272,2,false,false,false,-2501.0,0.1,0.99,0.7617505868384082,0.001
273,8,false,false,false,-3047.0,0.1,0.99,0.7609888362515699,0.001
274,3,false,false,false,-2502.0,0.1,0.99,0.7602278474153183,0.001
275,14,false,false,false,-2583.0,0.1,0.99,0.759467619567903,0.001
276,2,false,false,false,-2011.0,0.1,0.99,0.7587081519483351,0.001
277,4,false,false,false,-2023.0,0.1,0.99,0.7579494437963867,0.001
278,3,false,false,false,-2012.0,0.1,0.99,0.7571914943525904,0.001
279,15,false,false,false,-2054.0,0.1,0.99,0.7564343028582378,0.001
280,29,false,false,false,-3588.0,0.1,0.99,0.7556778685553796,0.001
281,60,false,false,false,-3739.0,0.1,0.99,0.7549221906868242,0.001
282,18,false,false,false,-3077.0,0.1,0.99,0.7541672684961374,0.001
283,2,false,false,false,-2001.0,0.1,0.99,0.7534131012276413,0.001
284,3,false,false,false,-2512.0,0.1,0.99,0.7526596881264136,0.001
285,28,false,false,false,-2117.0,0.1,0.99,0.7519070284382872,0.001
286,8,false,false,false,-3517.0,0.1,0.99,0.7511551214098489,0.001
287,9,false,false,false,-3018.0,0.1,0.99,0.750403966288439,0.001
288,34,false,false,false,-4213.0,0.1,0.99,0.7496535623221505,0.001
289,15,false,false,false,-3544.0,0.1,0.99,0.7489039087598284,0.001
290,5,false,false,false,-2514.0,0.1,0.99,0.7481550048510686,0.001
291,7,false,false,false,-2046.0,0.1,0.99,0.7474068498462175,0.001
292,3,false,false,false,-2022.0,0.1,0.99,0.7466594429963713,0.001
293,5,false,false,false,-2514.0,0.1,0.99,0.745912783553375,0.001
294,2,false,false,false,-2501.0,0.1,0.99,0.7451668707698216,0.001
295,21,false,false,false,-3590.0,0.1,0.99,0.7444217038990517,0.001
296,27,false,false,false,-3136.0,0.1,0.99,0.7436772821951526,0.001
297,2,false,false,false,-2011.0,0.1,0.99,0.7429336049129575,0.001
298,60,false,false,false,-5759.0,0.1,0.99,0.7421906713080445,0.001
299,5,false,false,false,-2524.0,0.1,0.99,0.7414484806367364,0.001
300,5,false,false,false,-3014.0,0.1,0.99,0.7407070321560997,0.001
301,3,false,false,false,-2502.0,0.1,0.99,0.7399663251239436,0.001
302,5,false,false,false,-2514.0,0.1,0.99,0.7392263587988196,0.001
303,9,false,false,false,-2518.0,0.1,0.99,0.7384871324400207,0.001
304,2,false,false,false,-2501.0,0.1,0.99,0.7377486453075807,0.001
305,18,false,false,false,-3087.0,0.1,0.99,0.737010896662273,0.001
306,10,false,false,false,-3039.0,0.1,0.99,0.7362738857656108,0.001
307,10,false,false,false,-2039.0,0.1,0.99,0.7355376118798452,0.001
308,8,false,false,false,-2537.0,0.1,0.99,0.7348020742679654,0.001
309,6,false,false,false,-2035.0,0.1,0.99,0.7340672721936974,0.001
310,14,false,false,false,-2093.0,0.1,0.99,0.7333332049215037,0.001
311,11,false,false,false,-2540.0,0.1,0.99,0.7325998717165821,0.001
312,24,false,false,false,-3623.0,0.1,0.99,0.7318672718448656,0.001
313,3,false,false,false,-2012.0,0.1,0.99,0.7311354045730207,0.001
314,26,false,false,false,-3615.0,0.1,0.99,0.7304042691684477,0.001
315,1,false,false,false,-2000.0,0.1,0.99,0.7296738648992792,0.001
316,18,false,false,false,-3087.0,0.1,0.99,0.7289441910343799,0.001
317,18,false,false,false,-2577.0,0.1,0.99,0.7282152468433455,0.001
318,15,false,false,false,-2544.0,0.1,0.99,0.7274870315965022,0.001
