episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,reward,alpha,gamma,epsilon,epsilonDecay
90,15,false,false,-2544.0,0.1,0.99,0.4047319726783239,0.01
91,42,false,false,-2121.0,0.1,0.99,0.40068465295154065,0.01
92,1,false,false,-2000.0,0.1,0.99,0.39667780642202527,0.01
93,3,false,false,-2002.0,0.1,0.99,0.392711028357805,0.01
94,40,false,false,-2139.0,0.1,0.99,0.38878391807422696,0.01
95,6,false,false,-2505.0,0.1,0.99,0.3848960788934847,0.01
96,37,false,false,-5096.0,0.1,0.99,0.38104711810454983,0.01
97,11,false,false,-2570.0,0.1,0.99,0.37723664692350434,0.01
98,7,false,false,-3006.0,0.1,0.99,0.37346428045426927,0.01
99,48,false,false,-3607.0,0.1,0.99,0.36972963764972655,0.01
100,70,false,false,-3159.0,0.1,0.99,0.36603234127322926,0.01
101,3,false,false,-2012.0,0.1,0.99,0.36237201786049694,0.01
102,8,false,false,-2017.0,0.1,0.99,0.358748297681892,0.01
103,23,false,false,-3532.0,0.1,0.99,0.35516081470507305,0.01
104,17,false,false,-2556.0,0.1,0.99,0.3516092065580223,0.01
105,2,false,false,-2011.0,0.1,0.99,0.34809311449244207,0.01
106,67,false,false,-5646.0,0.1,0.99,0.34461218334751764,0.01
107,8,false,false,-2027.0,0.1,0.99,0.34116606151404244,0.01
108,19,false,false,-4028.0,0.1,0.99,0.337754400898902,0.01
109,6,false,false,-2005.0,0.1,0.99,0.334376856889913,0.01
110,3,false,false,-2012.0,0.1,0.99,0.33103308832101386,0.01
111,17,false,false,-2526.0,0.1,0.99,0.3277227574378037,0.01
112,19,false,true,-3058.0,0.1,0.99,0.3244455298634257,0.01
113,53,false,false,-3662.0,0.1,0.99,0.3212010745647914,0.01
114,26,false,false,-2585.0,0.1,0.99,0.3179890638191435,0.01
115,10,false,false,-2519.0,0.1,0.99,0.31480917318095203,0.01
116,8,false,false,-2017.0,0.1,0.99,0.3116610814491425,0.01
117,38,false,true,-3577.0,0.1,0.99,0.30854447063465107,0.01
118,2,false,false,-2001.0,0.1,0.99,0.30545902592830454,0.01
119,3,false,false,-2002.0,0.1,0.99,0.3024044356690215,0.01
120,12,false,false,-2541.0,0.1,0.99,0.29938039131233124,0.01
121,38,false,false,-2597.0,0.1,0.99,0.2963865873992079,0.01
122,12,false,false,-2011.0,0.1,0.99,0.29342272152521587,0.01
123,21,false,false,-2050.0,0.1,0.99,0.2904884943099637,0.01
124,1,false,false,-2000.0,0.1,0.99,0.28758360936686406,0.01
125,15,false,false,-2074.0,0.1,0.99,0.2847077732731954,0.01
126,29,false,false,-4058.0,0.1,0.99,0.28186069554046345,0.01
127,38,false,false,-3087.0,0.1,0.99,0.2790420885850588,0.01
128,16,false,false,-2535.0,0.1,0.99,0.2762516676992082,0.01
