episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,agentHasGold,reward,alpha,gamma,epsilon,epsilonDecay
0,2,false,false,false,-2501.0,0.1,0.99,1.0,0.01
1,4,false,false,false,-2033.0,0.1,0.99,0.99,0.01
2,2,false,false,false,-2011.0,0.1,0.99,0.9801,0.01
3,8,false,false,false,-3527.0,0.1,0.99,0.9702989999999999,0.01
4,1,false,false,false,-2000.0,0.1,0.99,0.96059601,0.01
5,1,false,false,false,-2000.0,0.1,0.99,0.9509900498999999,0.01
6,4,false,false,false,-2023.0,0.1,0.99,0.9414801494009999,0.01
7,23,false,false,false,-5122.0,0.1,0.99,0.9320653479069899,0.01
8,3,false,false,false,-2012.0,0.1,0.99,0.92274469442792,0.01
9,4,false,false,false,-2033.0,0.1,0.99,0.9135172474836407,0.01
10,4,false,false,false,-2023.0,0.1,0.99,0.9043820750088043,0.01
11,5,false,false,false,-2534.0,0.1,0.99,0.8953382542587163,0.01
12,4,false,false,false,-2513.0,0.1,0.99,0.8863848717161291,0.01
13,10,false,false,false,-4019.0,0.1,0.99,0.8775210229989678,0.01
14,17,false,false,false,-4086.0,0.1,0.99,0.8687458127689781,0.01
15,9,false,false,false,-3068.0,0.1,0.99,0.8600583546412883,0.01
16,1,false,false,false,-2000.0,0.1,0.99,0.8514577710948754,0.01
17,2,false,false,false,-2501.0,0.1,0.99,0.8429431933839266,0.01
18,11,false,false,false,-2560.0,0.1,0.99,0.8345137614500874,0.01
19,15,false,false,false,-3574.0,0.1,0.99,0.8261686238355865,0.01
20,1,false,false,false,-2000.0,0.1,0.99,0.8179069375972307,0.01
21,3,false,false,false,-2002.0,0.1,0.99,0.8097278682212583,0.01
22,3,false,false,false,-2502.0,0.1,0.99,0.8016305895390458,0.01
23,23,false,false,false,-4092.0,0.1,0.99,0.7936142836436553,0.01
24,2,false,false,false,-2001.0,0.1,0.99,0.7856781408072188,0.01
25,3,false,false,false,-2002.0,0.1,0.99,0.7778213593991465,0.01
26,7,false,false,false,-3516.0,0.1,0.99,0.7700431458051551,0.01
27,23,false,false,false,-3142.0,0.1,0.99,0.7623427143471035,0.01
28,18,false,false,false,-2077.0,0.1,0.99,0.7547192872036325,0.01
29,10,false,false,false,-3519.0,0.1,0.99,0.7471720943315961,0.01
30,9,false,false,false,-2058.0,0.1,0.99,0.7397003733882802,0.01
31,1,false,false,false,-2000.0,0.1,0.99,0.7323033696543974,0.01
32,1,false,false,false,-2000.0,0.1,0.99,0.7249803359578534,0.01
33,5,false,false,false,-3024.0,0.1,0.99,0.7177305325982748,0.01
34,7,false,false,false,-2526.0,0.1,0.99,0.7105532272722921,0.01
35,3,false,false,false,-2012.0,0.1,0.99,0.7034476949995692,0.01
36,2,false,false,false,-2001.0,0.1,0.99,0.6964132180495735,0.01
37,13,false,false,false,-3562.0,0.1,0.99,0.6894490858690777,0.01
38,3,false,false,false,-2512.0,0.1,0.99,0.682554595010387,0.01
39,1,false,false,false,-2000.0,0.1,0.99,0.6757290490602831,0.01
40,13,false,false,false,-2572.0,0.1,0.99,0.6689717585696803,0.01
41,29,false,false,false,-6628.0,0.1,0.99,0.6622820409839835,0.01
42,3,false,false,false,-2012.0,0.1,0.99,0.6556592205741436,0.01
43,15,false,false,false,-2544.0,0.1,0.99,0.6491026283684022,0.01
44,33,false,false,false,-4632.0,0.1,0.99,0.6426116020847181,0.01
