episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus
395,24,true,true
396,20,true,true
397,20,true,true
398,22,true,true
399,20,true,true
400,20,true,true
401,20,true,true
402,20,true,true
403,20,true,true
404,21,true,true
405,23,true,true
406,20,true,true
407,20,true,true
408,22,true,true
409,21,true,true
410,20,true,true
411,20,true,true
412,20,true,true
413,20,true,true
414,20,true,true
415,20,true,true
416,20,true,true
417,20,true,true
418,20,true,true
419,20,true,true
420,20,true,true
421,20,true,true
422,21,true,true
423,20,true,true
424,20,true,true
425,20,true,true
426,20,true,true
427,20,true,true
428,20,true,true
429,20,true,true
430,20,true,true
431,20,true,true
432,21,true,true
433,20,true,true
434,20,true,true
435,20,true,true
436,20,true,true
437,20,true,true
438,20,true,true
439,20,true,true
440,20,true,true
441,23,true,true
442,21,true,true
443,20,true,true
444,20,true,true
445,20,true,true
446,20,true,true
447,22,true,true
448,20,true,true
449,20,true,true
450,20,true,true
451,21,true,true
452,20,true,true
453,20,true,true
454,20,true,true
455,20,true,true
456,20,true,true
457,20,true,true
458,20,true,true
459,20,true,true
460,20,true,true
461,20,true,true
462,20,true,true
463,20,true,true
464,20,true,true
465,20,true,true
466,20,true,true
467,20,true,true
468,20,true,true
469,20,true,true
470,20,true,true
471,20,true,true
472,22,true,true
473,20,true,true
474,22,true,true
475,20,true,true
476,20,true,true
477,20,true,true
478,20,true,true
479,17,false,true
480,20,true,true
481,20,true,true
482,20,true,true
483,20,true,true
484,20,true,true
485,20,true,true
486,21,false,true
487,20,true,true
488,20,true,true
489,10,false,false
490,20,true,true
491,20,true,true
492,20,true,true
493,20,true,true
494,20,true,true
495,21,true,true
496,22,true,true
497,1361,false,false
498,20,true,true
499,20,true,true
500,20,true,true
501,20,true,true
502,20,true,true
503,20,true,true
504,20,true,true
505,20,true,true
506,20,true,true
507,20,true,true
508,20,true,true
509,20,true,true
510,20,true,true
511,20,true,true
512,20,true,true
513,20,true,true
514,20,true,true
515,20,true,true
516,20,true,true
517,20,true,true
518,20,true,true
519,21,true,true
520,20,true,true
521,20,true,true
522,20,true,true
523,23,true,true
524,21,true,true
525,20,true,true
526,20,true,true
527,20,true,true
528,20,true,true
529,20,true,true
530,20,true,true
531,21,true,true
532,20,true,true
533,20,true,true
534,4,false,false
535,20,true,true
536,20,true,true
537,20,true,true
538,20,true,true
539,20,true,true
540,20,true,true
541,20,true,true
542,20,true,true
543,20,true,true
544,20,true,true
